,Cruise,Project.Name,Year,Region,Status,Location,Location.Site,Location.Site.Depth,Site,Op.Depth,Op.Site,Gear,Depth,Opcode,Genus.Species,Length,Opcode.No.Year
4207,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD2b,Chromis.westaustralis,43.2,PFD2b
4208,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD2b,Chromis.westaustralis,48,PFD2b
4209,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD2b,Chromis.westaustralis,52.3,PFD2b
4210,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD2b,Chrysophrys.auratus,274.5,PFD2b
4211,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD2b,Scarus.schlegeli,130.4,PFD2b
4212,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD2b,Scarus.schlegeli,148.2,PFD2b
4213,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.a,Pelsaert.a.D,Newman.Is.,D,a,sBRUVS,24,8PFD2a,Scarus.schlegeli,156.2,PFD2a
4214,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD1c,Lethrinus.nebulosus,480.5,PFD1c
4215,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD1c,Chrysophrys.auratus,362.1,PFD1c
4216,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD1c,Chrysophrys.auratus,374.7,PFD1c
4217,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD1c,Plectropomus.leopardus,283.3,PFD1c
4218,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD1c,Plectropomus.leopardus,320.1,PFD1c
4219,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.c,Pelsaert.c.D,Stick.Is.,D,c,sBRUVS,24,8PFD1c,Pseudocaranx.dinjerra,265.2,PFD1c
4227,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Bodianus.bilunulatus,302.9,ERD5
4228,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Choerodon.rubescens,304.2,ERD5
4229,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Choerodon.rubescens,315.4,ERD5
4230,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Chromis.westaustralis,67.9,ERD5
4231,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Chromis.westaustralis,70.9,ERD5
4232,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Chromis.westaustralis,72.6,ERD5
4233,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Chromis.westaustralis,85.5,ERD5
4234,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Coris.auricularis,374.4,ERD5
4235,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Diagramma.labiosum,453.6,ERD5
4236,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Glaucosoma.hebraicum,428.8,ERD5
4237,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Hemigymnus.fasciatus,182.5,ERD5
4238,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Kyphosus.cornelii,409.2,ERD5
4239,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Kyphosus.cornelii,427.3,ERD5
4240,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Kyphosus.cornelii,443.1,ERD5
4241,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Kyphosus.cornelii,470.2,ERD5
4242,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Kyphosus.cornelii,470.9,ERD5
4243,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Kyphosus.cornelii,498,ERD5
4244,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Kyphosus.cornelii,499.1,ERD5
4245,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Kyphosus.cornelii,545.6,ERD5
4246,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Kyphosus.cornelii,556,ERD5
4247,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Lethrinus.miniatus,391.9,ERD5
4248,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Pomacentrus.milleri,79.4,ERD5
4249,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,MPA,Easter,Easter.a,Easter.a.D,Leo's.Is.,D,a,sBRUVS,24,8ERD5,Thalassoma.lutescens,159.1,ERD5
4402,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD1b,Choerodon.rubescens,135.4,PFD1b
4403,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD1b,Coris.auricularis,76,PFD1b
4404,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD1b,Coris.auricularis,160.9,PFD1b
4405,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD1b,Coris.auricularis,181.2,PFD1b
4406,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD1b,Coris.auricularis,191.6,PFD1b
4407,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD1b,Coris.auricularis,225.7,PFD1b
4408,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD1b,Coris.auricularis,254.6,PFD1b
4409,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Pelsaert,Pelsaert.b,Pelsaert.b.D,Whale.Bay,D,b,sBRUVS,24,8PFD1b,Parupeneus.spilurus,342.5,PFD1b
4411,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.b,Easter.b.D,Woody.Is.,D,b,sBRUVS,24,8EFD3b,Abudefduf.bengalensis,152,EFD3b
4412,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.b,Easter.b.D,Woody.Is.,D,b,sBRUVS,24,8EFD3b,Choerodon.cauteroma,424.4,EFD3b
4413,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.b,Easter.b.D,Woody.Is.,D,b,sBRUVS,24,8EFD3b,Choerodon.rubescens,198.2,EFD3b
4414,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.b,Easter.b.D,Woody.Is.,D,b,sBRUVS,24,8EFD3b,Choerodon.rubescens,568,EFD3b
4415,16,2008.05.Abrolhos.B.DM,2008,Abrolhos.Islands,Fished,Easter,Easter.b,Easter.b.D,Woody.Is.,D,b,sBRUVS,24,8EFD3b,Coris.auricularis,268.5,EFD3b
